epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,217.671,3.41839,3.23564,2.57368,0.03052,0.07579,0.32458,0.05566,0.01691,3.28134,2.7479,2.5482,0.01814,0.00332305,0.00332305,0.0700926
2,382.482,3.22691,2.88733,2.05621,0.03346,0.12032,0.15036,0.04335,0.00969,3.66016,4.46148,2.13489,0.02541,0.00661245,0.00661245,0.0400487
3,546.705,3.07732,2.71702,2.00007,0.02671,0.16337,0.24344,0.13103,0.04445,2.88442,4.18883,1.95027,0.01527,0.00985785,0.00985785,0.00996073
4,710.463,2.93,2.5572,1.91984,0.02177,0.37724,0.29204,0.22754,0.07618,2.74646,2.29197,1.86383,0.01434,0.009802,0.009802,0.009802
5,873.456,2.8253,2.45769,1.79468,0.02281,0.44582,0.31742,0.30798,0.12164,2.59454,2.0216,1.80457,0.01351,0.009736,0.009736,0.009736
6,1036.26,2.79729,2.4651,1.69888,0.02517,0.35664,0.3031,0.20763,0.06507,2.7282,2.14126,1.85063,0.01406,0.00967,0.00967,0.00967
7,1249.42,2.7737,2.39051,1.6983,0.02283,0.40127,0.31981,0.27144,0.1094,2.5742,2.05133,1.76095,0.01273,0.009604,0.009604,0.009604
8,1484.85,2.62867,2.39021,1.68542,0.02047,0.52364,0.30788,0.30303,0.11625,2.53103,2.076,1.76928,0.01104,0.009538,0.009538,0.009538
9,1720.89,2.60391,2.2583,1.65277,0.01563,0.31779,0.32936,0.23518,0.09813,2.56317,2.05789,1.74334,0.00917,0.009472,0.009472,0.009472
10,1956.86,2.60157,2.30031,1.67932,0.01621,0.42151,0.28878,0.28711,0.12952,2.45015,2.12548,1.7679,0.0099,0.009406,0.009406,0.009406
11,2192.46,2.46919,2.1679,1.61355,0.01551,0.48023,0.33174,0.33146,0.16139,2.25106,2.14029,1.63068,0.00781,0.00934,0.00934,0.00934
12,2428.91,2.3944,2.09318,1.56092,0.01484,0.47403,0.37709,0.33793,0.14687,2.33469,2.0675,1.63949,0.00951,0.009274,0.009274,0.009274
13,2668.69,2.43076,2.0848,1.57365,0.01185,0.5466,0.36754,0.39201,0.16822,2.34609,1.83658,1.64443,0.01019,0.009208,0.009208,0.009208
14,2901.91,2.34865,2.01866,1.53317,0.01272,0.48185,0.37232,0.37173,0.17525,2.18249,1.86798,1.57406,0.00703,0.009142,0.009142,0.009142
15,3134.91,2.31491,2.01912,1.55876,0.01227,0.46137,0.44391,0.38558,0.1945,2.15598,1.83146,1.60127,0.00783,0.009076,0.009076,0.009076
16,3368.26,2.3657,1.96778,1.53852,0.01269,0.57191,0.38186,0.37864,0.1726,2.29426,2.06101,1.60224,0.00738,0.00901,0.00901,0.00901
17,3601.57,2.35076,1.97954,1.50885,0.0126,0.48918,0.41766,0.40159,0.19735,2.16012,1.83439,1.59945,0.00865,0.008944,0.008944,0.008944
18,3835.45,2.32026,1.91201,1.51962,0.01323,0.53602,0.44115,0.4187,0.20827,2.16142,1.766,1.55622,0.00703,0.008878,0.008878,0.008878
19,4068.65,2.24124,1.86586,1.43743,0.0103,0.59886,0.42043,0.44008,0.23177,2.04855,1.67116,1.53561,0.00712,0.008812,0.008812,0.008812
20,4301.9,2.24926,1.92288,1.45798,0.01148,0.52843,0.43057,0.40935,0.17483,2.22512,1.94736,1.58516,0.00798,0.008746,0.008746,0.008746
21,4535.85,2.24712,1.96432,1.52493,0.01101,0.56181,0.40573,0.42598,0.22832,1.97411,1.81269,1.52671,0.00594,0.00868,0.00868,0.00868
22,4770.2,2.17109,1.93065,1.46612,0.01282,0.45416,0.44391,0.38895,0.17969,2.10707,1.79609,1.56775,0.00649,0.008614,0.008614,0.008614
23,5004.83,2.21253,1.86384,1.50945,0.01141,0.58125,0.41766,0.4073,0.1825,2.10699,1.82005,1.51301,0.00977,0.008548,0.008548,0.008548
