epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9862,4.46242,10.1189,2.7129,0.02683,0.25691,0.16945,0.12876,0.03988,4.72769,11.2063,2.96006,0.02604,0.000397531,0.000397531,0.080521
2,281.639,4.33204,9.48619,2.71613,0.02339,0.32247,0.26014,0.21009,0.05602,4.17184,8.73788,2.77206,0.01552,0.000797482,0.000797482,0.0609209
3,450.969,4.02446,8.96363,2.56413,0.01851,0.34601,0.28033,0.21191,0.0636,4.09695,8.3698,2.72613,0.01217,0.00119724,0.00119724,0.0413207
4,619.159,3.82801,8.58446,2.54863,0.01743,0.39159,0.30549,0.26552,0.09132,3.75824,8.12021,2.68561,0.01362,0.00159665,0.00159665,0.0217201
5,789.714,3.83561,8.41591,2.52269,0.01747,0.34868,0.29258,0.24421,0.08433,3.81732,8.17451,2.68503,0.01237,0.00199558,0.00199558,0.00211904
6,960.859,3.73911,8.09723,2.44728,0.01814,0.48182,0.31742,0.31936,0.11071,3.6045,7.30547,2.60593,0.00954,0.00199695,0.00199695,0.00199695
7,1130.26,3.61388,7.85495,2.41069,0.01463,0.43063,0.33652,0.28295,0.09278,3.84421,7.5974,2.56123,0.01142,0.00199561,0.00199561,0.00199561
8,1292.36,3.59925,7.63238,2.4224,0.01403,0.48481,0.34845,0.32349,0.10509,3.62729,7.26426,2.64996,0.01007,0.00199402,0.00199402,0.00199402
9,1448.88,3.54726,7.65616,2.33109,0.0164,0.53061,0.32697,0.31909,0.11475,3.53686,7.08843,2.61313,0.00982,0.00199219,0.00199219,0.00199219
10,1597.55,3.53344,7.38116,2.35446,0.01313,0.45951,0.3348,0.30645,0.11138,3.47694,7.08208,2.48246,0.0087,0.00199012,0.00199012,0.00199012
11,1757.63,3.51721,7.36955,2.38426,0.01142,0.51926,0.36038,0.35296,0.14293,3.49517,7.40855,2.4864,0.01143,0.00198781,0.00198781,0.00198781
12,1915.02,3.44527,7.30308,2.28797,0.01216,0.47343,0.35322,0.34113,0.13344,3.39614,7.22271,2.49803,0.0106,0.00198526,0.00198526,0.00198526
13,2066.45,3.34241,7.1572,2.31691,0.01162,0.51421,0.35368,0.34984,0.13698,3.38299,7.10256,2.39565,0.01069,0.00198246,0.00198246,0.00198246
14,2220.17,3.43657,7.27409,2.2796,0.01357,0.47564,0.31981,0.32657,0.1349,3.30643,7.19739,2.41122,0.00929,0.00197943,0.00197943,0.00197943
15,2374.64,3.3693,7.1278,2.28793,0.01215,0.42316,0.35322,0.31557,0.11086,3.42855,7.00206,2.50585,0.00821,0.00197616,0.00197616,0.00197616
16,2531.43,3.34762,7.10865,2.25636,0.01291,0.47872,0.37709,0.32686,0.12197,3.31845,6.96065,2.43877,0.00845,0.00197265,0.00197265,0.00197265
17,2687.97,3.24065,6.72863,2.27008,0.01112,0.48879,0.36516,0.35303,0.14425,3.25932,6.73927,2.43169,0.00766,0.0019689,0.0019689,0.0019689
18,2844.32,3.28629,6.79663,2.26712,0.01171,0.46953,0.39292,0.34302,0.12941,3.1813,6.53509,2.32395,0.00886,0.00196491,0.00196491,0.00196491
19,2997.43,3.21424,6.90382,2.2379,0.01139,0.44133,0.34845,0.33994,0.13323,3.34844,6.73293,2.42899,0.00949,0.00196069,0.00196069,0.00196069
20,3160.48,3.30413,6.98803,2.30352,0.01214,0.4377,0.3747,0.33679,0.12789,3.35529,6.63868,2.38049,0.00926,0.00195624,0.00195624,0.00195624
21,3314.61,3.3024,6.95496,2.21814,0.01104,0.47176,0.37709,0.36326,0.15407,3.19357,6.59185,2.3784,0.00818,0.00195155,0.00195155,0.00195155
22,3456.08,3.215,6.72711,2.21258,0.01276,0.50472,0.358,0.36395,0.15979,3.04642,6.43961,2.32031,0.00883,0.00194662,0.00194662,0.00194662
23,3621.65,3.12052,6.64289,2.20447,0.01189,0.48429,0.38186,0.37587,0.16081,3.2952,6.92176,2.47692,0.0088,0.00194147,0.00194147,0.00194147
24,3767.1,3.04994,6.42304,2.18526,0.00936,0.50876,0.41289,0.41303,0.17737,3.07485,6.34772,2.28555,0.00814,0.00193609,0.00193609,0.00193609
25,3904.45,3.07268,6.44324,2.24678,0.01068,0.52539,0.40158,0.41254,0.18362,2.962,6.31223,2.30536,0.00702,0.00193048,0.00193048,0.00193048
26,4061.7,3.13215,6.53461,2.19003,0.01129,0.55051,0.36038,0.38312,0.16805,3.02583,6.1342,2.32886,0.00803,0.00192464,0.00192464,0.00192464
27,4223.58,3.08128,6.41278,2.16488,0.01048,0.55556,0.39618,0.40774,0.17833,3.03535,6.2247,2.25254,0.00873,0.00191858,0.00191858,0.00191858
28,4372.01,3.00105,6.15025,2.15053,0.00964,0.52482,0.42703,0.41264,0.19416,2.89838,6.08029,2.22461,0.00745,0.00191229,0.00191229,0.00191229
29,4515.86,3.01564,6.09599,2.10994,0.00951,0.4915,0.39618,0.38969,0.17662,2.99931,6.19605,2.25146,0.00833,0.00190578,0.00190578,0.00190578
30,4655.25,2.99448,6.14801,2.13387,0.00935,0.57673,0.37723,0.4114,0.1819,2.97648,6.0722,2.23536,0.00878,0.00189905,0.00189905,0.00189905
31,4799.34,2.99932,6.23294,2.1593,0.01084,0.51739,0.40811,0.40402,0.16654,3.05485,6.19513,2.20229,0.00695,0.0018921,0.0018921,0.0018921
32,4951.52,3.00581,6.14045,2.06889,0.00966,0.58569,0.40811,0.44116,0.20631,2.8776,5.95585,2.20647,0.00749,0.00188493,0.00188493,0.00188493
33,5102.68,2.96521,6.08612,2.12833,0.01,0.53544,0.43437,0.42779,0.20377,2.8314,5.99168,2.1995,0.00752,0.00187754,0.00187754,0.00187754
34,5248.12,2.9527,5.93996,2.11186,0.00969,0.53599,0.40573,0.42461,0.18793,2.87249,6.10902,2.26324,0.00759,0.00186995,0.00186995,0.00186995
35,5388.23,2.94496,5.99117,2.10004,0.00936,0.52994,0.37947,0.39355,0.17752,2.9085,6.11612,2.26742,0.00704,0.00186213,0.00186213,0.00186213
36,5543.74,2.97624,6.10995,2.10757,0.01034,0.66222,0.41643,0.48229,0.23019,2.82193,5.86875,2.21573,0.00785,0.00185411,0.00185411,0.00185411
37,5688.23,3.00092,6.14182,2.13486,0.01029,0.47872,0.44274,0.44804,0.19668,2.99283,6.1545,2.27558,0.00824,0.00184588,0.00184588,0.00184588
38,5855.16,2.9881,6.12168,2.11255,0.00974,0.56482,0.40811,0.43339,0.19388,3.02148,5.8653,2.33301,0.00722,0.00183745,0.00183745,0.00183745
39,6027.61,2.95364,5.90057,2.11992,0.00967,0.54081,0.41766,0.43813,0.19671,2.82511,5.92621,2.17308,0.00746,0.00182881,0.00182881,0.00182881
40,6195.51,2.96348,5.9658,2.09425,0.01031,0.59385,0.43437,0.47631,0.21212,2.82482,5.74443,2.1558,0.00635,0.00181997,0.00181997,0.00181997
41,6349.07,2.91188,5.8693,2.07669,0.00974,0.55219,0.47017,0.48565,0.22525,2.77171,5.51888,2.18411,0.00593,0.00181093,0.00181093,0.00181093
42,6507.51,2.88138,5.75029,2.07003,0.00849,0.58023,0.44866,0.48151,0.22911,2.77087,5.60851,2.15081,0.00773,0.00180169,0.00180169,0.00180169
43,6645.07,2.8606,5.87555,2.06764,0.00892,0.50058,0.43914,0.41669,0.1839,3.04132,6.2454,2.29418,0.00842,0.00179225,0.00179225,0.00179225
44,6799.96,2.85741,5.8648,2.10643,0.00963,0.54865,0.42005,0.44397,0.19821,2.96668,5.88251,2.20827,0.00677,0.00178263,0.00178263,0.00178263
45,6945.4,2.83165,5.802,2.08359,0.00884,0.57029,0.46244,0.47842,0.22311,2.86628,5.86956,2.21313,0.00658,0.00177281,0.00177281,0.00177281
46,7095.92,2.79914,5.79265,2.0536,0.00852,0.51467,0.49403,0.47727,0.23035,2.75054,5.56799,2.21886,0.00787,0.0017628,0.0017628,0.0017628
47,7240.04,2.83523,5.82655,2.05256,0.0092,0.59638,0.47253,0.49796,0.2428,2.75302,5.57816,2.18372,0.0071,0.00175261,0.00175261,0.00175261
48,7379.11,2.8308,5.71428,2.05685,0.00865,0.64206,0.43198,0.49591,0.24495,2.70631,5.41724,2.16045,0.00725,0.00174223,0.00174223,0.00174223
49,7525.77,2.76782,5.61052,2.02991,0.00901,0.55223,0.45585,0.47242,0.22779,2.85114,5.78203,2.22917,0.00627,0.00173168,0.00173168,0.00173168
50,7662.23,2.78693,5.73434,2.04757,0.00946,0.54175,0.44298,0.45086,0.2161,2.786,5.74212,2.18159,0.00696,0.00172095,0.00172095,0.00172095
51,7813.67,2.73008,5.46017,2.06105,0.00828,0.55069,0.48266,0.49095,0.2363,2.77423,5.65686,2.15905,0.00643,0.00171004,0.00171004,0.00171004
52,7960.53,2.84812,5.6608,2.02098,0.00876,0.62601,0.46341,0.49505,0.2315,2.70374,5.59927,2.19223,0.00558,0.00169895,0.00169895,0.00169895
53,8104.15,2.77998,5.53422,2.07508,0.00803,0.61609,0.46301,0.5049,0.25098,2.65404,5.47668,2.15888,0.00628,0.0016877,0.0016877,0.0016877
54,8258.63,2.77184,5.54428,2.03404,0.0087,0.54527,0.47733,0.4785,0.22778,2.77009,5.67982,2.16615,0.00731,0.00167628,0.00167628,0.00167628
55,8399.68,2.70875,5.32445,2.01573,0.00782,0.62149,0.45107,0.48204,0.22865,2.81607,5.56088,2.28227,0.00652,0.0016647,0.0016647,0.0016647
56,8544.42,2.69384,5.30709,2.02498,0.00765,0.63281,0.48449,0.51866,0.26243,2.62219,5.46942,2.13553,0.00584,0.00165295,0.00165295,0.00165295
57,8700.34,2.69832,5.28723,2.01455,0.00847,0.57249,0.49642,0.51304,0.25952,2.62371,5.625,2.12978,0.00634,0.00164105,0.00164105,0.00164105
58,8836.7,2.67624,5.28068,2.00114,0.00814,0.61901,0.4821,0.53164,0.25451,2.67542,5.34924,2.15468,0.0069,0.00162899,0.00162899,0.00162899
59,8979.48,2.60968,5.13574,1.99703,0.00718,0.71591,0.43304,0.52603,0.25292,2.6975,5.35019,2.19306,0.00572,0.00161678,0.00161678,0.00161678
60,9131.7,2.6834,5.37306,2.00311,0.00818,0.54745,0.43675,0.46364,0.20403,2.99279,5.78635,2.23708,0.00759,0.00160442,0.00160442,0.00160442
61,9264.74,2.73484,5.44365,2.07225,0.00855,0.5979,0.44391,0.48484,0.21276,2.93842,5.81161,2.33907,0.00547,0.00159191,0.00159191,0.00159191
62,9412.23,2.70145,5.42447,2.02067,0.00747,0.67387,0.41918,0.5029,0.23549,2.851,5.70621,2.17477,0.00622,0.00157926,0.00157926,0.00157926
63,9560.29,2.63138,5.1684,1.98169,0.00756,0.55494,0.50887,0.51372,0.23837,2.71433,5.53444,2.15946,0.00615,0.00156646,0.00156646,0.00156646
64,9710.6,2.66295,5.32178,1.98951,0.0079,0.58927,0.47017,0.52242,0.27206,2.63138,5.26629,2.14978,0.00624,0.00155353,0.00155353,0.00155353
65,9842.86,2.65209,5.31653,2.00741,0.00752,0.6358,0.44164,0.50888,0.25553,2.71856,5.47301,2.24013,0.00551,0.00154047,0.00154047,0.00154047
66,9985.85,2.60649,5.3417,1.99895,0.00745,0.66664,0.45823,0.52828,0.26623,2.60355,5.26538,2.19373,0.00558,0.00152727,0.00152727,0.00152727
67,10133.7,2.59327,5.20998,1.97951,0.00713,0.59595,0.47733,0.52051,0.26662,2.71826,5.70975,2.24709,0.00547,0.00151395,0.00151395,0.00151395
68,10282.3,2.70057,5.47215,2.01398,0.00821,0.64165,0.44869,0.50478,0.2428,2.70669,5.58855,2.26343,0.00622,0.0015005,0.0015005,0.0015005
69,10430.8,2.61607,5.25848,2.02505,0.00762,0.64383,0.50597,0.55124,0.28738,2.51455,5.15998,2.13145,0.00561,0.00148694,0.00148694,0.00148694
70,10571.1,2.60913,5.15639,1.98421,0.00746,0.60937,0.48399,0.53094,0.27788,2.53043,5.27038,2.14198,0.00576,0.00147325,0.00147325,0.00147325
71,10712.3,2.65832,5.26003,1.97798,0.00811,0.64384,0.45733,0.51542,0.25981,2.57149,5.47504,2.13103,0.00511,0.00145945,0.00145945,0.00145945
