epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,19.4263,2.99226,2.39834,1.78629,0.02194,0.18961,0.08917,0.07277,0.025,3.98012,2.88293,2.05714,0.05343,0.00197802,0.000659341,0.00197802,0.000659341,0.00197802,0.000659341,0.00197802,0.000659341
2,36.5926,2.90309,2.29269,1.76593,0.02859,0.21643,0.12102,0.0802,0.02656,3.88459,2.72698,2.0477,0.05159,0.00397759,0.00132586,0.00397759,0.00132586,0.00397759,0.00132586,0.00397759,0.00132586
3,56.0422,2.92288,2.20302,1.71625,0.02185,0.20458,0.11465,0.07367,0.02194,3.74372,2.73852,1.99705,0.04075,0.00597543,0.00199181,0.00597543,0.00199181,0.00597543,0.00199181,0.00597543,0.00199181
4,78.8114,2.91593,2.18794,1.79748,0.02337,0.18688,0.08917,0.07032,0.0203,3.9202,2.80894,2.0112,0.05378,0.00599414,0.00199805,0.00599414,0.00199805,0.00599414,0.00199805,0.00599414,0.00199805
5,107.757,2.81521,2.07711,1.62282,0.01788,0.22532,0.0828,0.07625,0.02526,3.83984,2.70717,2.02293,0.0557,0.00598958,0.00199653,0.00598958,0.00199653,0.00598958,0.00199653,0.00598958,0.00199653
6,141.175,2.84175,2.13001,1.6612,0.02016,0.18081,0.10191,0.07599,0.02832,3.65611,2.67735,1.99443,0.04189,0.00598373,0.00199458,0.00598373,0.00199458,0.00598373,0.00199458,0.00598373,0.00199458
7,181.473,2.7546,2.01567,1.6545,0.01831,0.18023,0.09554,0.07419,0.02567,3.80886,2.72897,2.00141,0.04104,0.00597658,0.00199219,0.00597658,0.00199219,0.00597658,0.00199219,0.00597658,0.00199219
8,226.78,2.73079,2.09216,1.61234,0.01961,0.31502,0.10828,0.0939,0.03529,3.37712,2.54979,1.90594,0.02938,0.00596814,0.00198938,0.00596814,0.00198938,0.00596814,0.00198938,0.00596814,0.00198938
9,289.975,2.67688,1.95896,1.62647,0.01634,0.26126,0.12739,0.09123,0.03453,3.63686,2.57176,1.93965,0.04001,0.00595841,0.00198614,0.00595841,0.00198614,0.00595841,0.00198614,0.00595841,0.00198614
10,358.305,2.60461,1.86361,1.63403,0.01593,0.28202,0.13376,0.09468,0.03658,3.47724,2.54715,1.90846,0.03628,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246,0.00594739,0.00198246
11,428.631,2.55641,1.84142,1.64161,0.01389,0.34257,0.13277,0.11041,0.03775,3.55106,2.51733,1.92291,0.03876,0.0059351,0.00197837,0.0059351,0.00197837,0.0059351,0.00197837,0.0059351,0.00197837
