epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.3653,5.80247,13.1363,4.24698,0.31662,0,0,0,0,6.59602,13.4641,4.22529,0.18864,0.00118681,0.000395604,0.00118681,0.000395604,0.00118681,0.000395604,0.00118681,0.000395604
2,42.6439,5.8008,10.2739,4.19084,0.28272,0,0,0,0,6.58435,11.3677,4.16653,0.19438,0.00238448,0.000794827,0.00238448,0.000794827,0.00238448,0.000794827,0.00238448,0.000794827
3,79.3168,5.85543,8.17302,4.06484,0.22603,0,0,0,0,6.57646,6.55187,4.05298,0.20101,0.00357281,0.00119094,0.00357281,0.00119094,0.00357281,0.00119094,0.00357281,0.00119094
4,141.16,5.79052,6.81477,3.75069,0.21571,0,0,0,0,6.55432,5.24482,3.80323,0.20665,0.00474484,0.00158161,0.00474484,0.00158161,0.00474484,0.00158161,0.00474484,0.00158161
5,212.711,5.11713,5.7109,3.19237,0.141,0,0,0,0,6.51184,4.83063,3.54273,0.21221,0.00589371,0.00196457,0.00589371,0.00196457,0.00589371,0.00196457,0.00589371,0.00196457
6,280.88,4.68405,4.8751,2.85881,0.11836,0,0,0,0,6.42184,4.65005,3.3704,0.20466,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155,0.00585464,0.00195155
7,350.401,4.3564,4.35351,2.63768,0.09748,0,0,0,0,6.22498,4.29451,3.15129,0.18809,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048,0.00579144,0.00193048
8,397.917,4.08597,3.94326,2.32536,0.07219,0,0,0,0,5.98989,4.00762,3.02313,0.16995,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578,0.00571734,0.00190578
9,445.21,3.77247,3.4907,2.26609,0.06907,0.00763,0.00637,0.00384,0.00077,5.71857,3.86435,2.90739,0.1392,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754,0.00563263,0.00187754
10,492.524,3.71687,3.29681,2.22233,0.06175,0.01399,0.02548,0.0078,0.00152,5.57837,3.81757,2.80747,0.11421,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588,0.00553765,0.00184588
11,540.135,3.51751,3.04651,2.18534,0.04968,0.01579,0.05732,0.01563,0.00329,5.2474,3.72251,2.72038,0.11949,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093,0.00543278,0.00181093
12,587.934,3.51035,3.05456,2.00123,0.04542,0.03652,0.0828,0.02678,0.0069,5.07433,3.54458,2.59982,0.12224,0.00531842,0.00177281,0.00531842,0.00177281,0.00531842,0.00177281,0.00531842,0.00177281
13,635.972,3.4275,2.81165,1.99508,0.04476,0.02627,0.09554,0.02156,0.00533,5.01919,3.50014,2.55033,0.1269,0.00519504,0.00173168,0.00519504,0.00173168,0.00519504,0.00173168,0.00519504,0.00173168
14,683.213,3.35321,2.67376,1.96127,0.04409,0.10358,0.03822,0.01869,0.00514,5.04691,3.58543,2.47919,0.11024,0.0050631,0.0016877,0.0050631,0.0016877,0.0050631,0.0016877,0.0050631,0.0016877
15,730.471,3.42378,2.72306,1.93971,0.04409,0.10751,0.03822,0.01966,0.00473,4.9706,3.44206,2.44377,0.10437,0.00492315,0.00164105,0.00492315,0.00164105,0.00492315,0.00164105,0.00492315,0.00164105
