epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1465,6.29089,16.3553,2.71635,0.05509,0.11771,0.12649,0.05365,0.0139,5.85742,12.461,2.60755,0.02912,0.000664609,0.000664609,0.0674342
2,227.746,5.43206,12.2789,2.4529,0.03331,0.18226,0.22766,0.10066,0.02887,5.03441,10.5657,2.48494,0.01658,0.00132249,0.00132249,0.0347587
3,470.478,4.97802,10.755,2.33577,0.02082,0.20561,0.25537,0.12108,0.03345,4.87958,10.0397,2.41587,0.01182,0.00197157,0.00197157,0.00207445
4,710.106,4.77164,9.97097,2.26191,0.0201,0.30311,0.29117,0.18972,0.05308,4.49069,9.01797,2.35759,0.0081,0.0019604,0.0019604,0.0019604
5,938.777,4.58346,9.26319,2.18751,0.01509,0.31249,0.25927,0.18172,0.05015,4.61837,8.69939,2.38852,0.00921,0.0019472,0.0019472,0.0019472
6,1164.51,4.47487,8.85169,2.2009,0.01654,0.38126,0.3222,0.27272,0.08773,4.19228,8.31407,2.2906,0.00836,0.001934,0.001934,0.001934
7,1395.39,4.32638,8.5133,2.10471,0.01439,0.39834,0.31981,0.26991,0.09085,4.2764,8.46134,2.34569,0.01009,0.0019208,0.0019208,0.0019208
8,1614.16,4.14789,8.3271,2.09343,0.01201,0.3735,0.37232,0.29408,0.10283,3.89547,7.88681,2.22491,0.0069,0.0019076,0.0019076,0.0019076
9,1834.36,4.12032,8.21693,2.05619,0.01419,0.42156,0.36516,0.33829,0.11658,3.9947,7.70899,2.22552,0.0065,0.0018944,0.0018944,0.0018944
10,2038.57,4.10018,8.21824,2.03805,0.01263,0.41926,0.4105,0.31499,0.11228,3.88114,7.58498,2.21148,0.00731,0.0018812,0.0018812,0.0018812
11,2275.93,3.96391,7.7968,2.00688,0.01109,0.48638,0.38186,0.36319,0.13651,3.71136,7.33893,2.17023,0.00576,0.001868,0.001868,0.001868
